ID,DOB,Age_2015,Group
ABO,1997,18,Waibira_B
ALF,1998,17,Waibira_A
ARD,2005,10,Waibira_B
BEN,1992,23,Waibira_A
CHN,1991,24,Waibira_B
DAU,2004,11,Waibira_B
DOU,1976,39,Waibira_A
FID,2002,13,Waibira_A
GER,1993,22,Waibira_A
ILA,1999,16,Waibira_B
KAS,1995,20,Waibira_B
KEV,1981,34,Waibira_B
LAF,2003,12,Waibira_B
LAN,2002,13,Waibira_B
MAC,1998,17,Waibira_A
MAS,2003,12,Waibira_A
MOR,1984,31,Waibira_B
MUG,2003,12,Waibira_B
SAM,1999,16,Waibira_B
TAL,1976,39,Waibira_A
TRS,1986,29,Waibira_A
URS,1987,28,Waibira_B
FK,1999,16,Sonso
HW,1993,22,Sonso
JS,2006,9,Sonso
KC,2006,9,Sonso
KS,2003,12,Sonso
KT,1993,22,Sonso
MS,1992,23,Sonso
PS,1998,17,Sonso
SM,1993,22,Sonso
ZD,2001,14,Sonso
ZL,1995,20,Sonso
ABO,1997,18,Waibira
ALF,1998,17,Waibira
ARD,2005,10,Waibira
BEN,1992,23,Waibira
CHN,1991,24,Waibira
DAU,2004,11,Waibira
DOU,1976,39,Waibira
FID,2002,13,Waibira
GER,1993,22,Waibira
ILA,1999,16,Waibira
KAS,1995,20,Waibira
KEV,1981,34,Waibira
LAF,2003,12,Waibira
LAN,2002,13,Waibira
MAC,1998,17,Waibira
MAS,2003,12,Waibira
MOR,1984,31,Waibira
MUG,2003,12,Waibira
SAM,1999,16,Waibira
TAL,1976,39,Waibira
TRS,1986,29,Waibira
URS,1987,28,Waibira