,0,5,10,15,20,25,30,35,40
X,0,0,0,0,0,0,0.000190985,0,0
V,0,0,0,0,0.000286478,0.005443086,0.000190985,0,0
T,0,0,9.54927E-05,0.000477464,0.00105042,0.011650115,0.004201681,0,0
R,0,0,0.005156608,0.012414057,0.00974026,0.023013751,0.069709702,0.043258212,0.001623377
P,0,0,0.002387319,0.006588999,0.003724217,0.0118411,0.025878533,0.019194041,0.000190985
N,0,0,0.010886173,0.012414057,0.029029794,0.014514897,0.042303285,0.022058824,0.000190985
L,0,0,0.010122231,0.013846448,0.007257448,0.022918258,0.024541635,0.010981665,0.001623377
J,0,0,0,0.011077158,0.004201681,0.007352941,0.025210084,0.02158136,0.000477464
H,0,0,0.009262796,0.006779985,0.00487013,0.026833461,0.018143621,0.002291826,0.000190985
F,0,0.001336898,0.003055768,0.020626432,0.014323911,0.032754011,0.021199389,0.002387319,0.000668449
D,0,0.001145913,0.008403361,0.016329259,0.018716578,0.025019099,0.011650115,0.004297173,9.54927E-05
B,0,0,0.004774637,0.013559969,0.026642475,0.015374332,0.012127578,0.004106188,0.000286478
0,0,0.000190985,0.004201681,0.010026738,0,0.012318564,0.002196333,0.000572956,0
2,0,0,0.000859435,0.005156608,0.006111536,0.008307869,0.005729565,0,0
4,0,0,0,0.005347594,0.007352941,0.004297173,0.001336898,0.00105042,0
6,0,0,0,0.003437739,0.001336898,9.54927E-05,0.000477464,0,0